"diabetes","sex","agegrp","period","deaths","pyar","age"
0,"M","0-5","1996-2000",346,1060410.70088981,2.5
0,"M","0-5","2001-2005",269,1022861.52908968,2.5
0,"M","0-5","2006-2010",203,1001037.39356606,2.5
0,"M","0-5","2011-2015",182,1143229.5468857,2.5
0,"M","6-10","1996-2000",112,823370.140999324,8
0,"M","6-10","2001-2005",116,896456.531827525,8
0,"M","6-10","2006-2010",71,857806.837097887,8
0,"M","6-10","2011-2015",63,1015263.13347024,8
0,"M","11-15","1996-2000",166,724677.70636551,13
0,"M","11-15","2001-2005",156,834731.986310754,13
0,"M","11-15","2006-2010",107,899822.657768661,13
0,"M","11-15","2011-2015",90,1035019.449692,13
0,"M","16-20","1996-2000",566,774200.019849426,18
0,"M","16-20","2001-2005",465,737069.810403841,18
0,"M","16-20","2006-2010",432,846765.732375095,18
0,"M","16-20","2011-2015",327,1102132.5544148,18
0,"M","21-25","1996-2000",737,922294.68240932,23
0,"M","21-25","2001-2005",565,789372.813826155,23
0,"M","21-25","2006-2010",507,772400.210814519,23
0,"M","21-25","2011-2015",482,1098103.05612596,23
0,"M","26-30","1996-2000",901,997123.148528417,28
0,"M","26-30","2001-2005",710,928827.06570843,28
0,"M","26-30","2006-2010",533,808885.583846689,28
0,"M","26-30","2011-2015",489,995731.914442175,28
0,"M","31-35","1996-2000",1275,1075453.88774813,33
0,"M","31-35","2001-2005",991,994648.408624241,33
0,"M","31-35","2006-2010",759,931675.199863118,33
0,"M","31-35","2011-2015",629,996195.188227253,33
0,"M","36-40","1996-2000",1677,971584.654346348,38
0,"M","36-40","2001-2005",1538,1064768.97125258,38
0,"M","36-40","2006-2010",1200,988317.393566062,38
0,"M","36-40","2011-2015",1066,1113994.5140315,38
0,"M","41-45","1996-2000",2574,928694.223134849,43
0,"M","41-45","2001-2005",2219,953999.574948676,43
0,"M","41-45","2006-2010",2028,1046365.37782342,43
0,"M","41-45","2011-2015",1720,1171044.79808352,43
0,"M","46-50","1996-2000",3938,939808.030800836,48
0,"M","46-50","2001-2005",3471,899483.230663938,48
0,"M","46-50","2006-2010",3045,924430.449692001,48
0,"M","46-50","2011-2015",3086,1216408.23340179,48
0,"M","51-55","1996-2000",5823,945276.632443543,53
0,"M","51-55","2001-2005",5287,894735.743326501,53
0,"M","51-55","2006-2010",4929,854335.765913766,53
0,"M","51-55","2011-2015",4537,1069075.08692677,53
0,"M","56-60","1996-2000",7115,700168.149897337,58
0,"M","56-60","2001-2005",7754,879861.670773453,58
0,"M","56-60","2006-2010",6914,831548.937713903,58
0,"M","56-60","2011-2015",6825,954902.154688579,58
0,"M","61-65","1996-2000",9359,555675.157426423,63
0,"M","61-65","2001-2005",8778,631997.396988369,63
0,"M","61-65","2006-2010",9947,793068.711156749,63
0,"M","61-65","2011-2015",9598,896258.075975368,63
0,"M","66-70","1996-2000",13188,468831.668720056,68
0,"M","66-70","2001-2005",11087,479498.808350445,68
0,"M","66-70","2006-2010",10401,549448.443531829,68
0,"M","66-70","2011-2015",13539,837131.89938399,68
0,"M","71-75","1996-2000",18068,397064.671457906,73
0,"M","71-75","2001-2005",14758,377424.676249144,73
0,"M","71-75","2006-2010",12952,393214.854893908,73
0,"M","71-75","2011-2015",14304,569053.878165641,73
0,"M","76-80","1996-2000",21204,289654.171115674,78
0,"M","76-80","2001-2005",18841,286842.704996577,78
0,"M","76-80","2006-2010",15757,280969.069815195,78
0,"M","76-80","2011-2015",16563,370451.690622861,78
0,"M","81-85","1996-2000",19681,169972.407939767,83
0,"M","81-85","2001-2005",19011,176306.002737851,83
0,"M","81-85","2006-2010",17475,182502.298425736,83
0,"M","81-85","2011-2015",18570,225764.003422313,83
0,"M","86-90","1996-2000",13947,76549.446954141,88
0,"M","86-90","2001-2005",13902,79160.0876112252,88
0,"M","86-90","2006-2010",13997,86540.505817933,88
0,"M","86-90","2011-2015",16767,114529.707049966,88
0,"M","91-95","1996-2000",5648,19719.4592744695,93
0,"M","91-95","2001-2005",6560,23695.8726899384,93
0,"M","91-95","2006-2010",6807,25427.052019165,93
0,"M","91-95","2011-2015",9023,36496.1793292266,93
0,"M","96-100","1996-2000",1197,2674.11567419576,97.5
0,"M","96-100","2001-2005",1286,3108.09377138946,97.5
0,"M","96-100","2006-2010",1546,3985.9137577002,97.5
0,"M","96-100","2011-2015",2066,5568.87063655031,97.5
0,"F","0-5","1996-2000",252,1005932.93839837,2.5
0,"F","0-5","2001-2005",227,974508.488021912,2.5
0,"F","0-5","2006-2010",144,953644.928131425,2.5
0,"F","0-5","2011-2015",147,1085723.68788502,2.5
0,"F","6-10","1996-2000",68,781041.362765237,8
0,"F","6-10","2001-2005",69,850576.759753603,8
0,"F","6-10","2006-2010",63,817691.502395627,8
0,"F","6-10","2011-2015",61,966300.578370986,8
0,"F","11-15","1996-2000",92,691127.391512668,13
0,"F","11-15","2001-2005",96,790860.501026702,13
0,"F","11-15","2006-2010",83,853810.542094464,13
0,"F","11-15","2011-2015",73,986961.308692685,13
0,"F","16-20","1996-2000",210,742960.898035048,18
0,"F","16-20","2001-2005",149,703391.618069822,18
0,"F","16-20","2006-2010",157,802680.188227251,18
0,"F","16-20","2011-2015",148,1044234.94455853,18
0,"F","21-25","1996-2000",232,898628.254312055,23
0,"F","21-25","2001-2005",208,775647.993300648,23
